         50247 function calls (50245 primitive calls) in 190.815 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1138    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      247    0.000    0.000    0.001    0.000 iostream.py:88(_check_mp_mode)
       81    0.000    0.000    0.004    0.000 index.py:2573(_get_combined_index)
       81    0.000    0.000    0.001    0.000 poll.py:86(poll)
       81    0.000    0.000    0.000    0.000 iostream.py:209(_flush_buffer)
       81    0.000    0.000    0.001    0.000 session.py:191(msg_header)
       81    0.000    0.000    0.000    0.000 {method 'isoformat' of 'datetime.datetime' objects}
       85    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      243    0.000    0.000    0.000    0.000 {method 'copy' of '_hashlib.HASH' objects}
      166    0.000    0.000    0.001    0.000 utf_8.py:15(decode)
      324    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       81    0.000    0.000    0.004    0.000 merge.py:1142(_get_comb_axis)
      245    0.000    0.000    0.000    0.000 {zip}
     1381    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      162    0.000    0.000    0.002    0.000 frame.py:482(<genexpr>)
       81    0.000    0.000    0.000    0.000 parsers.py:928(_set_noconvert_columns)
       81    0.000    0.000    0.000    0.000 iostream.py:218(_new_buffer)
       81    0.000    0.000    0.000    0.000 threading.py:1152(currentThread)
       86    0.000    0.000    0.001    0.000 index.py:294(<lambda>)
       83    0.000    0.000    0.000    0.000 common.py:681(_is_bool_indexer)
      510    0.000    0.000    0.000    0.000 internals.py:599(<genexpr>)
       81    0.000    0.000    0.000    0.000 common.py:965(is_integer)
      413    0.000    0.000    0.000    0.000 internals.py:624(is_consolidated)
       81    0.000    0.000    0.001    0.000 frame.py:446(_from_axes)
       81    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
      168    0.000    0.000    0.000    0.000 {sum}
       85    0.000    0.000    0.000    0.000 index.py:315(__iter__)
      162    0.000    0.000    0.001    0.000 generic.py:609(consolidate)
      324    0.000    0.000    0.001    0.000 hmac.py:80(update)
       81    0.000    0.000    0.000    0.000 hmac.py:116(hexdigest)
      166    0.000    0.000    0.000    0.000 generic.py:542(_clear_item_cache)
       81    0.000    0.000    0.000    0.000 jsonutil.py:94(date_default)
       81    0.000    0.000    0.000    0.000 parsers.py:701(_make_index)
      494    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
      972    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      243    0.000    0.000    0.000    0.000 index.py:2589(<genexpr>)
      324    0.000    0.000    0.000    0.000 merge.py:988(<genexpr>)
       81    0.000    0.000    0.000    0.000 hmac.py:97(_current)
      162    0.000    0.000    0.000    0.000 generic.py:518(ndim)
      162    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x84a640}
      334    0.000    0.000    0.000    0.000 internals.py:609(<genexpr>)
       81    0.000    0.000    0.000    0.000 internals.py:1413(_asarray_compat)
       81    0.000    0.000    0.000    0.000 merge.py:1108(_get_result_dim)
       81    0.000    0.000    0.000    0.000 internals.py:1420(_shape_compat)
      166    0.000    0.000    0.000    0.000 {pandas.algos.ensure_object}
      409    0.000    0.000    0.000    0.000 {posix.getpid}
       81    0.000    0.000    0.000    0.000 {locals}
      162    0.000    0.000    0.000    0.000 internals.py:529(ndim)
       81    0.000    0.000    0.000    0.000 parsers.py:1649(_clean_na_values)
