         24731 function calls (24730 primitive calls) in 244.903 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    1.034    0.345 common.py:57(_isnull_new)
        1    0.000    0.000    0.050    0.050 pp.py:490(set_ncpus)
       82    0.000    0.000    0.000    0.000 merge.py:1177(_maybe_check_integrity)
        3    0.000    0.000    0.000    0.000 {thread.start_new_thread}
        5    0.000    0.000    0.581    0.116 {method 'sum' of 'numpy.ndarray' objects}
       95    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        4    0.000    0.000    0.000    0.000 encoder.py:245(iterencode)
      164    0.000    0.000    0.000    0.000 {any}
       62    0.000    0.000    0.000    0.000 inspect.py:641(tokeneater)
       81    0.000    0.000    0.000    0.000 pp.py:803(__gentid)
        1    0.000    0.000    0.000    0.000 {posix.getcwd}
       13    0.000    0.000    0.000    0.000 numeric.py:1666(isscalar)
        2    0.000    0.000    0.000    0.000 tokenize.py:174(tokenize_loop)
        6    0.000    0.000    0.000    0.000 common.py:916(_asarray_tuplesafe)
        1    0.000    0.000    0.115    0.115 nanops.py:362(_get_counts)
        6    0.000    0.000    0.000    0.000 threading.py:259(__init__)
       82    0.000    0.000    0.000    0.000 frame.py:455(_init_mgr)
        5    0.000    0.000    0.581    0.116 _methods.py:16(_sum)
        1    0.000    0.000    0.000    0.000 uuid.py:531(uuid4)
        1    0.000    0.000    0.000    0.000 uuid.py:101(__init__)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
       24    0.000    0.000    0.000    0.000 subprocess.py:1134(_set_cloexec_flag)
        3    0.000    0.000    0.050    0.017 pp.py:134(__init__)
       15    0.000    0.000    0.000    0.000 {posix.waitpid}
      172    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       82    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 {posix.pipe}
        2    0.000    0.000    0.000    0.000 {posix.stat}
        3    0.000    0.000    0.000    0.000 threading.py:656(__init__)
        2    0.000    0.000    0.000    0.000 index.py:830(_possibly_promote)
        2    0.000    0.000    0.001    0.000 index.py:772(get_indexer)
        2    0.000    0.000    0.000    0.000 inspect.py:440(getsourcefile)
        3    0.000    0.000    0.002    0.001 index.py:720(get_value)
        9    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        3    0.000    0.000    0.000    0.000 pptransport.py:117(__init__)
        7    0.000    0.000    0.000    0.000 {method 'send' of 'zmq.backend.cython.socket.Socket' objects}
      171    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 frame.py:5338(_arrays_to_mgr)
        1    0.000    0.000    0.052    0.052 common.py:702(_default_index)
        2    0.000    0.000    0.000    0.000 index.py:354(__getitem__)
        1    0.000    0.000    0.000    0.000 session.py:554(send)
      164    0.000    0.000    0.000    0.000 {id}
      166    0.000    0.000    0.000    0.000 {hash}
       12    0.000    0.000    0.000    0.000 subprocess.py:1147(pipe_cloexec)
        1    0.000    0.000    0.001    0.001 iostream.py:122(flush)
        3    0.000    0.000    0.000    0.000 threading.py:308(wait)
        2    0.000    0.000    0.000    0.000 internals.py:1483(_consolidate)
        2    0.000    0.000    0.000    0.000 inspect.py:673(getblock)
       82    0.000    0.000    0.000    0.000 {all}
        2    0.000    0.000    0.000    0.000 inspect.py:398(getfile)
        3    0.000    0.000    0.000    0.000 nanops.py:456(_ensure_numeric)
        3    0.000    0.000    0.000    0.000 series.py:3047(_sanitize_array)
        8    0.000    0.000    0.000    0.000 threading.py:63(_note)
        3    0.000    0.000    0.000    0.000 subprocess.py:761(__del__)
        3    0.000    0.000    0.000    0.000 pptransport.py:127(send)
        3    0.000    0.000    0.000    0.000 ppcommon.py:38(start_thread)
        4    0.000    0.000    0.000    0.000 __init__.py:245(dumps)
       15    0.000    0.000    0.000    0.000 subprocess.py:1325(_internal_poll)
        1    0.000    0.000    1.592    1.592 frame.py:4845(std)
        3    0.000    0.000    0.000    0.000 threading.py:726(start)
        2    0.000    0.000    0.000    0.000 frame.py:5363(extract_index)
        2    0.000    0.000    0.000    0.000 internals.py:1145(_make_na_block)
        4    0.000    0.000    0.000    0.000 frame.py:1692(as_matrix)
        1    0.000    0.000    0.000    0.000 {built-in method now}
        2    0.000    0.000    0.001    0.000 inspect.py:682(getsourcelines)
        4    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {hasattr}
        3    0.000    0.000    0.005    0.002 subprocess.py:475(_eintr_retry_call)
        3    0.000    0.000    0.000    0.000 subprocess.py:460(_cleanup)
        4    0.000    0.000    0.000    0.000 {method 'decode' of 'str' objects}
        2    0.000    0.000    0.001    0.000 pp.py:699(__get_source)
       12    0.000    0.000    0.000    0.000 traitlets.py:281(__get__)
        3    0.000    0.000    0.000    0.000 _methods.py:24(_any)
        3    0.000    0.000    6.319    2.106 frame.py:4887(<lambda>)
        1    0.000    0.000    0.000    0.000 session.py:482(sign)
        3    0.000    0.000    0.000    0.000 threading.py:602(wait)
        1    0.000    0.000    0.052    0.052 frame.py:519(_init_ndarray)
        1    0.000    0.000    0.000    0.000 iostream.py:105(_flush_from_subprocesses)
        2    0.000    0.000    0.000    0.000 frame.py:5578(_homogenize)
        1    0.000    0.000    0.000    0.000 {zmq.backend.cython._poll.zmq_poll}
        1    0.000    0.000    0.000    0.000 session.py:497(serialize)
        3    0.000    0.000    0.002    0.001 series.py:501(__getitem__)
        1    0.000    0.000    0.000    0.000 session.py:460(msg_header)
        3    0.000    0.000    0.000    0.000 subprocess.py:1089(_get_handles)
        4    0.000    0.000    0.000    0.000 encoder.py:215(encode)
        1    0.000    0.000    1.145    1.145 frame.py:4764(mean)
        1    0.000    0.000    0.000    0.000 session.py:463(msg)
        6    0.000    0.000    0.000    0.000 iostream.py:79(_is_master_process)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        4    0.000    0.000    0.000    0.000 {sorted}
        1    0.000    0.000    0.000    0.000 hmac.py:85(copy)
        4    0.000    0.000    0.000    0.000 index.py:315(__iter__)
        7    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'put' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1517(product)
        1    0.000    0.000    0.000    0.000 session.py:425(msg_id)
        2    0.000    0.000    0.000    0.000 internals.py:1318(form_blocks)
        1    0.000    0.000    3.582    3.582 nanops.py:124(_nanmedian)
        1    0.000    0.000    0.000    0.000 iostream.py:209(_flush_buffer)
        1    0.000    0.000    0.000    0.000 session.py:191(msg_header)
        4    0.000    0.000    0.000    0.000 jsonapi.py:46(dumps)
        4    0.000    0.000    0.000    0.000 threading.py:1152(currentThread)
        4    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 __init__.py:52(create_string_buffer)
       10    0.000    0.000    0.000    0.000 string.py:220(lower)
        2    0.000    0.000    0.001    0.000 index.py:872(reindex)
        3    0.000    0.000    0.000    0.000 threading.py:560(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:210(send_multipart)
        6    0.000    0.000    0.000    0.000 threading.py:241(Condition)
        4    0.000    0.000    0.000    0.000 encoder.py:106(__init__)
        4    0.000    0.000    0.000    0.000 {map}
        1    0.000    0.000    0.000    0.000 attrsettr.py:47(__getattr__)
        4    0.000    0.000    0.000    0.000 internals.py:752(as_matrix)
        2    0.000    0.000    0.000    0.000 tokenize.py:155(tokenize)
        2    0.000    0.000    0.000    0.000 common.py:740(_try_sort)
        5    0.000    0.000    0.000    0.000 {method 'update' of '_hashlib.HASH' objects}
        3    0.000    0.000    0.000    0.000 threading.py:709(_set_daemon)
        2    0.000    0.000    0.000    0.000 index.py:862(_get_method)
        4    0.000    0.000    0.000    0.000 series.py:461(__array_finalize__)
        1    0.000    0.000    0.000    0.000 threading.py:146(acquire)
        4    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
        3    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 {_struct.pack}
        1    0.000    0.000    0.000    0.000 pp.py:603(__connect)
        1    0.000    0.000    0.000    0.000 __init__.py:1007(getLogger)
        4    0.000    0.000    0.000    0.000 index.py:216(dtype)
        5    0.000    0.000    0.000    0.000 iostream.py:88(_check_mp_mode)
